id,name,affiliation_as_published,roles,paper_count,paper_numbers,same_name_record_count,identity_review_required,source_urls,verification_levels,hilo_member,outreach_authorized,attendance_verified
person-e2ee93d93b1b9344f79f,"Song, Aiguo",Southeast University,paper_author,2,3726 | 3999,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-a00d3aca5245b31e8404,"Fragkiadaki, Aikaterini",Carnegie Mellon University,paper_author,1,4030,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-3eb1b6a5c6b8a1cc9223,"Li, Aimin",Middle East Technical University,paper_author,1,4460,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-9e91f4fe3e72d5ece169,"Zhang, Aiwei",Dartmouth College,paper_author,1,144,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-8f51581952b3b131431d,"Ye, Aixue","2012 Labs, Huawei",paper_author,1,1769,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-70dffe1d5667b7444b43,"Xiaokaiti, Aizimaiti","School of Software, Xinjiang University",paper_author,1,1199,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-12d1ad8a88121e4fbf9c,"Ponnada, Ajay Kishore",Wichita State University,paper_author,1,4206,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-b91a02726ba62e41f145,"Tak, Ajay",Georgia Institute of Technology,paper_author,1,4128,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-45715dff58cda94aae30,"Puri, Ajit Singh",UMass Chan Medical School,paper_author,1,56,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-1d2cf863052f37c6f91d,"Zemmar, Ajmal","University Hospital, Department of Neurosurgery, Zurich",paper_author,1,2971,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-2f95f453bf69d32257a6,"Saran, Akanksha",University of Texas at Austin,paper_author,1,1795,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
